,GW150914-H1,GW150914-L1,GW151012-H1,GW151012-L1,GW151226-H1,GW151226-L1,GW170104-H1,GW170104-L1,GW170608-H1,GW170608-L1,GW170729-H1,GW170729-L1,GW170729-V1,GW170809-H1,GW170809-L1,GW170809-V1,GW170814-L1,GW170814-V1,GW170817-L1,GW170817-V1,GW170818-L1,GW170818-V1,GW170823-H1,GW170823-L1,GW190412-H1,GW190412-L1,GW190521-H1,GW190521-L1
0,1.980865897223252e-22,7.571965106296782e-24,-5.529255209986185e-23,-1.3348391006417541e-22,-4.030930085300215e-24,-6.026990011372022e-23,-8.537283666406508e-23,7.998661213202142e-23,7.913799958971536e-25,3.854820651230866e-23,1.2727663138964844e-22,-6.8657847831003e-23,7.514481606377274e-22,1.0324905814377469e-22,-4.856538101835307e-23,9.69368925744483e-23,2.0906301972291292e-24,2.1428664890746024e-22,2.0113663932530794e-22,-2.2327283036842735e-22,-8.109260203618954e-23,8.063084875382563e-23,5.299812589125206e-23,2.07887036065633e-23,-4.9886337695403325e-23,-1.1481093530771718e-23,9.319138957983479e-23,4.347480027525312e-23
1,2.237019414309785e-22,-4.406171254473522e-23,-4.2420175994718834e-23,-1.0728114808119965e-22,-3.8816533634731413e-23,-3.5177497739370477e-23,-1.6750094763683024e-22,8.807723505089244e-23,2.4943905495645884e-23,-1.0963861695272248e-23,1.4651838722959964e-22,-6.702743923994724e-23,-1.3208968411199693e-21,1.541769140478049e-22,-3.045485746061187e-23,8.407812762572902e-23,-2.796100480233413e-23,2.6870178167103386e-22,2.868083450270072e-22,1.4986389948390558e-22,-1.0851788046310226e-22,1.7226553521015385e-22,5.103759578739172e-23,2.1925020051108595e-23,-6.87410158795346e-23,-4.3800959734653495e-23,9.870613788227999e-23,2.1145133450305333e-23
2,1.372249493311292e-22,-8.689383766907139e-24,4.1513812519829586e-23,-1.7937484922179515e-23,-1.6156506253386562e-23,-1.7195879923776502e-23,-1.3528718163911685e-22,3.270631300301605e-23,4.6763785189245856e-23,-1.630434402712037e-23,1.607264731717644e-22,-4.9626616348538314e-23,-3.175544741994571e-21,1.637729403983318e-22,-3.738693095326664e-24,3.821508423475967e-23,-5.818715269357594e-23,3.6318303554753585e-22,2.4420799452597734e-22,5.242273215000884e-22,-1.0213487476784287e-22,1.837959530411133e-22,3.5487417483682914e-23,1.9576789275157923e-24,-7.745253822934375e-23,-3.20976361744511e-23,5.752261758945898e-23,-2.4906779081888985e-24
3,7.004316319007753e-23,1.4006781417369084e-23,8.089241858448667e-23,3.6956029833183e-23,-1.7599947535256245e-23,6.190066640236392e-24,-9.201079496506766e-23,1.8440376862407286e-24,7.529197448361595e-23,-2.6389615612907687e-23,1.6787633269026915e-22,-2.4810976016800858e-23,-2.349541856948417e-21,1.7193172073559e-22,-8.160425677154846e-25,-2.0611035180494754e-23,-8.552631303339873e-23,4.348922690622514e-22,1.60674185663867e-22,7.487357698543034e-22,-8.86454297796473e-23,1.4800563835761423e-22,2.0063194765230627e-23,-1.1577336160074974e-23,-5.871891775424108e-23,-2.938749898863163e-23,2.7670024305398824e-23,-1.6247692119460555e-23
4,-4.088866566339333e-24,6.060256427546964e-23,1.0393098009608881e-22,9.34159212091312e-23,-2.6224779414265988e-24,2.927422014479758e-23,-3.5940028955511876e-24,-2.6439034333251548e-23,9.79889520392276e-23,-3.1745071085281437e-23,1.6693478779360201e-22,7.674583854967567e-24,3.252489157162442e-22,1.503966538301593e-22,-1.0874203049632663e-23,-6.142039284405007e-23,-1.0776246755006444e-22,4.2125386302500556e-22,1.960052339258714e-23,7.545715198787111e-22,-5.470665417471202e-23,1.177580765080459e-22,1.798809007533095e-24,-2.672275058908967e-23,-3.1321965027586324e-23,-1.2838387888296143e-23,-3.245848068495034e-24,-2.3165315689004213e-23
5,-3.715137259654022e-23,9.045031097715736e-23,7.694379145048633e-23,1.0913454065452585e-22,7.706827414961922e-25,5.682472109122244e-23,6.94302708832112e-23,-2.533871839153858e-23,1.0758860984814694e-22,-5.1278774386273593e-23,1.5813748534273686e-22,4.0859534128988216e-23,1.6463184020899538e-21,1.1829200544449742e-22,-3.782319282262765e-23,-6.463729270376962e-23,-1.237562740687578e-22,2.935735158061534e-22,-1.1392217507984716e-22,5.42812004576588e-22,-1.1502875912233716e-23,1.421967664867862e-22,-1.377961744084323e-23,-3.3974220582029254e-23,-4.2290634024605116e-24,8.536637310206498e-25,-1.2221474080600591e-23,-2.3170164840703253e-23
6,-5.690795928654192e-23,1.1880537461028828e-22,3.5062318231563726e-23,9.823268057108919e-23,1.407583750554473e-23,8.515292001469018e-23,1.3005170942363939e-22,-1.604456128938176e-23,9.278404561702788e-23,-7.327619275700937e-23,1.4215295885405125e-22,7.15277233805128e-23,1.576237918792839e-21,6.907441796739503e-23,-6.508228205073944e-23,-2.73170340267206e-23,-1.3211952643637962e-22,9.244196896311505e-23,-2.2324156247277806e-22,2.0923625511685223e-22,4.285893860371266e-23,2.4127208749175595e-22,-2.730593217163278e-23,-3.7445705938660704e-23,9.053248090214947e-24,1.9978916752293853e-23,-1.0810324208057454e-23,-2.1569425586017203e-23
7,-5.439648865033898e-23,1.220814994400387e-22,-1.9265203376266907e-23,4.1507082251769877e-23,2.0171087081944144e-23,1.1646113566741074e-22,1.4145538445995775e-22,5.978192973212923e-24,5.266802747393729e-23,-9.709687958465742e-23,1.2023924779973144e-22,9.357863434479729e-23,1.1633532166281503e-21,2.3776663228912336e-23,-8.550328362366321e-23,3.4681569180001284e-23,-1.3281902380035045e-22,-1.0149170989369398e-22,-2.6333734308203323e-22,-1.2282736399485203e-22,9.641002352558764e-23,3.983750020493354e-22,-3.5164044718544477e-23,-3.2517290100346113e-23,8.526717737630654e-24,3.165512487148194e-23,5.433316382788532e-24,-2.08117300532144e-23
8,-6.100899646186753e-23,1.2149218365339954e-22,-4.85534119981579e-23,-2.903134921469465e-23,3.3426646588104714e-23,1.4683380920753793e-22,1.2200964128507052e-22,1.8941335838377388e-23,-7.436080556441477e-24,-1.0446732333801314e-22,9.345665333047065e-23,1.0431328177403004e-22,3.981604230995414e-22,-1.6084145887914678e-23,-8.396159329506382e-23,9.439252008383683e-23,-1.2576042471718846e-22,-2.0761125352544254e-22,-2.400333394704594e-22,-3.327444126931333e-22,1.4651708624784819e-22,5.613367702177489e-22,-3.8052211890905856e-23,-2.3684171990615955e-23,-3.2875037378295236e-24,4.0901617441009157e-23,1.8947658008261906e-23,-2.4259163571653984e-23
9,-6.697038887618023e-23,1.097654548843679e-22,-5.268964448699513e-23,-1.0191324130208073e-22,4.101974835461988e-23,1.7605012362970528e-22,6.929909622075851e-23,2.5747887466175115e-23,-6.706089387486611e-23,-9.329389606912408e-23,6.298645769347198e-23,1.0047974309828338e-22,-2.236827852583321e-22,-3.4650279947548127e-23,-5.920570912417611e-23,1.2459631762264691e-22,-1.1207054869343597e-22,-2.0136665732162943e-22,-1.526587464096953e-22,-3.672923251141964e-22,1.8262626957392347e-22,6.63350057229258e-22,-3.415791203213122e-23,-9.429533121606055e-24,-1.5392981899142478e-23,4.018987910277067e-23,2.731175886200104e-23,-3.0977762160735985e-23
